Time,Iteration loop,Iteration,Fitness,Assignment,Local search,Similarity counter
15:56:02 19/12/2020,1,57,10416,"[0, 6, 21, 2, 12, 20, 1, 13, 11, 15, 5, 3, 14, 8, 9, 19, 10, 18, 16, 7, 17, 4]",False,0
15:56:02 19/12/2020,2,122,10416,"[0, 6, 21, 2, 12, 20, 1, 13, 11, 15, 5, 3, 14, 8, 9, 19, 10, 18, 16, 7, 17, 4]",False,1
15:56:02 19/12/2020,3,181,10416,"[0, 6, 21, 2, 12, 20, 1, 13, 11, 15, 5, 3, 14, 8, 9, 19, 10, 18, 16, 7, 17, 4]",False,2
15:56:02 19/12/2020,4,242,10416,"[0, 6, 21, 2, 12, 20, 1, 13, 11, 15, 5, 3, 14, 8, 9, 19, 10, 18, 16, 7, 17, 4]",True,3
15:56:02 19/12/2020,5,305,10416,"[0, 6, 21, 2, 12, 20, 1, 13, 11, 15, 5, 3, 14, 8, 9, 19, 10, 18, 16, 7, 17, 4]",False,4
15:56:02 19/12/2020,6,363,10326,"[5, 12, 2, 20, 3, 10, 11, 18, 6, 9, 15, 17, 0, 8, 1, 21, 4, 14, 7, 19, 16, 13]",False,0
15:56:02 19/12/2020,7,426,10326,"[5, 12, 2, 20, 3, 10, 11, 18, 6, 9, 15, 17, 0, 8, 1, 21, 4, 14, 7, 19, 16, 13]",False,1
15:56:02 19/12/2020,8,485,9990,"[1, 19, 3, 17, 16, 2, 15, 14, 6, 7, 12, 0, 13, 4, 9, 21, 11, 8, 10, 18, 20, 5]",False,0
15:56:02 19/12/2020,9,545,9990,"[1, 19, 3, 17, 16, 2, 15, 14, 6, 7, 12, 0, 13, 4, 9, 21, 11, 8, 10, 18, 20, 5]",False,1
15:56:03 19/12/2020,10,607,9764,"[4, 15, 12, 3, 8, 9, 19, 17, 2, 1, 10, 18, 14, 20, 0, 21, 11, 5, 16, 13, 6, 7]",False,0
15:56:03 19/12/2020,11,666,9764,"[4, 15, 12, 3, 8, 9, 19, 17, 2, 1, 10, 18, 14, 20, 0, 21, 11, 5, 16, 13, 6, 7]",False,1
15:56:03 19/12/2020,12,726,9764,"[4, 15, 12, 3, 8, 9, 19, 17, 2, 1, 10, 18, 14, 20, 0, 21, 11, 5, 16, 13, 6, 7]",False,2
15:56:03 19/12/2020,13,791,9764,"[4, 15, 12, 3, 8, 9, 19, 17, 2, 1, 10, 18, 14, 20, 0, 21, 11, 5, 16, 13, 6, 7]",False,3
15:56:03 19/12/2020,14,849,9764,"[4, 15, 12, 3, 8, 9, 19, 17, 2, 1, 10, 18, 14, 20, 0, 21, 11, 5, 16, 13, 6, 7]",False,4
15:56:03 19/12/2020,15,910,9764,"[4, 15, 12, 3, 8, 9, 19, 17, 2, 1, 10, 18, 14, 20, 0, 21, 11, 5, 16, 13, 6, 7]",False,5
15:56:03 19/12/2020,16,971,9470,"[6, 10, 2, 17, 18, 21, 4, 13, 5, 3, 11, 9, 1, 15, 0, 14, 8, 19, 12, 20, 16, 7]",False,0
15:56:03 19/12/2020,17,1027,9470,"[6, 10, 2, 17, 18, 21, 4, 13, 5, 3, 11, 9, 1, 15, 0, 14, 8, 19, 12, 20, 16, 7]",False,1
15:56:03 19/12/2020,18,1087,8316,"[6, 10, 2, 17, 18, 13, 4, 21, 5, 1, 11, 20, 3, 15, 0, 14, 8, 19, 12, 9, 16, 7]",False,0
15:56:03 19/12/2020,19,1143,8316,"[6, 10, 2, 17, 18, 13, 4, 21, 5, 1, 11, 20, 3, 15, 0, 14, 8, 19, 12, 9, 16, 7]",False,1
15:56:03 19/12/2020,20,1202,8316,"[6, 10, 2, 17, 18, 13, 4, 21, 5, 1, 11, 20, 3, 15, 0, 14, 8, 19, 12, 9, 16, 7]",False,2
15:56:03 19/12/2020,21,1264,8316,"[6, 10, 2, 17, 18, 13, 4, 21, 5, 1, 11, 20, 3, 15, 0, 14, 8, 19, 12, 9, 16, 7]",False,3
15:56:03 19/12/2020,22,1322,8316,"[6, 10, 2, 17, 18, 13, 4, 21, 5, 1, 11, 20, 3, 15, 0, 14, 8, 19, 12, 9, 16, 7]",True,4
15:56:03 19/12/2020,23,1380,8242,"[6, 10, 2, 17, 18, 13, 4, 21, 9, 1, 11, 20, 3, 15, 0, 14, 8, 19, 12, 5, 16, 7]",False,0
15:56:03 19/12/2020,24,1443,7992,"[6, 10, 2, 17, 18, 13, 4, 21, 5, 1, 11, 20, 3, 15, 0, 14, 8, 12, 19, 9, 16, 7]",True,0
15:56:03 19/12/2020,25,1501,7992,"[6, 10, 2, 17, 18, 13, 4, 21, 5, 1, 11, 20, 3, 15, 0, 14, 8, 12, 19, 9, 16, 7]",False,1
15:56:03 19/12/2020,26,1566,7992,"[6, 10, 2, 17, 18, 13, 4, 21, 5, 1, 11, 20, 3, 15, 0, 14, 8, 12, 19, 9, 16, 7]",False,2
15:56:03 19/12/2020,27,1629,7626,"[8, 10, 21, 17, 18, 6, 4, 13, 5, 1, 11, 20, 3, 15, 2, 14, 16, 0, 12, 19, 9, 7]",False,0
15:56:03 19/12/2020,28,1693,7626,"[8, 10, 21, 17, 18, 6, 4, 13, 5, 1, 11, 20, 3, 15, 2, 14, 16, 0, 12, 19, 9, 7]",False,1
15:56:04 19/12/2020,29,1755,7626,"[8, 10, 21, 17, 18, 6, 4, 13, 5, 1, 11, 20, 3, 15, 2, 14, 16, 0, 12, 19, 9, 7]",False,2
15:56:04 19/12/2020,30,1811,7626,"[8, 10, 21, 17, 18, 6, 4, 13, 5, 1, 11, 20, 3, 15, 2, 14, 16, 0, 12, 19, 9, 7]",False,3
15:56:04 19/12/2020,31,1867,7626,"[8, 10, 21, 17, 18, 6, 4, 13, 5, 1, 11, 20, 3, 15, 2, 14, 16, 0, 12, 19, 9, 7]",False,4
15:56:04 19/12/2020,32,1929,7626,"[8, 10, 21, 17, 18, 6, 4, 13, 5, 1, 11, 20, 3, 15, 2, 14, 16, 0, 12, 19, 9, 7]",False,5
15:56:04 19/12/2020,33,1986,7626,"[8, 10, 21, 17, 18, 6, 4, 13, 5, 1, 11, 20, 3, 15, 2, 14, 16, 0, 12, 19, 9, 7]",False,6
15:56:04 19/12/2020,34,2046,7626,"[8, 10, 21, 17, 18, 6, 4, 13, 5, 1, 11, 20, 3, 15, 2, 14, 16, 0, 12, 19, 9, 7]",False,7
15:56:04 19/12/2020,35,2110,7626,"[8, 10, 21, 17, 18, 6, 4, 13, 5, 1, 11, 20, 3, 15, 2, 14, 16, 0, 12, 19, 9, 7]",False,8
15:56:04 19/12/2020,36,2169,7626,"[8, 10, 21, 17, 18, 6, 4, 13, 5, 1, 11, 20, 3, 15, 2, 14, 16, 0, 12, 19, 9, 7]",True,9
15:56:04 19/12/2020,37,2233,7626,"[8, 10, 21, 17, 18, 6, 4, 13, 5, 1, 11, 20, 3, 15, 2, 14, 16, 0, 12, 19, 9, 7]",False,10
15:56:04 19/12/2020,38,2297,7626,"[8, 10, 21, 17, 18, 6, 4, 13, 5, 1, 11, 20, 3, 15, 2, 14, 16, 0, 12, 19, 9, 7]",True,11
15:56:04 19/12/2020,39,2360,7626,"[8, 10, 21, 17, 18, 6, 4, 13, 5, 1, 11, 20, 3, 15, 2, 14, 16, 0, 12, 19, 9, 7]",False,12
