Time,Iteration loop,Iteration,Fitness,Assignment,Local search,Similarity counter
18:25:15 20/12/2020,1,61,7517798,"[1, 24, 12, 20, 13, 25, 15, 16, 14, 2, 11, 18, 19, 23, 0, 8, 5, 4, 21, 17, 7, 22, 10, 6, 9, 3]",False,0
18:25:16 20/12/2020,2,122,7517798,"[1, 24, 12, 20, 13, 25, 15, 16, 14, 2, 11, 18, 19, 23, 0, 8, 5, 4, 21, 17, 7, 22, 10, 6, 9, 3]",False,1
18:25:16 20/12/2020,3,183,7517798,"[1, 24, 12, 20, 13, 25, 15, 16, 14, 2, 11, 18, 19, 23, 0, 8, 5, 4, 21, 17, 7, 22, 10, 6, 9, 3]",False,2
18:25:16 20/12/2020,4,245,7517798,"[1, 24, 12, 20, 13, 25, 15, 16, 14, 2, 11, 18, 19, 23, 0, 8, 5, 4, 21, 17, 7, 22, 10, 6, 9, 3]",False,3
18:25:16 20/12/2020,5,307,7471337,"[21, 18, 15, 23, 13, 20, 2, 8, 1, 6, 9, 24, 16, 17, 11, 12, 14, 4, 3, 22, 10, 7, 5, 19, 25, 0]",False,0
18:25:16 20/12/2020,6,370,7471337,"[21, 18, 15, 23, 13, 20, 2, 8, 1, 6, 9, 24, 16, 17, 11, 12, 14, 4, 3, 22, 10, 7, 5, 19, 25, 0]",False,1
18:25:16 20/12/2020,7,435,7471337,"[21, 18, 15, 23, 13, 20, 2, 8, 1, 6, 9, 24, 16, 17, 11, 12, 14, 4, 3, 22, 10, 7, 5, 19, 25, 0]",False,2
18:25:16 20/12/2020,8,500,7356753,"[21, 24, 12, 20, 13, 25, 2, 8, 1, 16, 9, 18, 6, 17, 11, 15, 14, 4, 3, 19, 10, 7, 5, 22, 23, 0]",False,0
18:25:16 20/12/2020,9,564,7356753,"[21, 24, 12, 20, 13, 25, 2, 8, 1, 16, 9, 18, 6, 17, 11, 15, 14, 4, 3, 19, 10, 7, 5, 22, 23, 0]",False,1
18:25:16 20/12/2020,10,625,7356753,"[21, 24, 12, 20, 13, 25, 2, 8, 1, 16, 9, 18, 6, 17, 11, 15, 14, 4, 3, 19, 10, 7, 5, 22, 23, 0]",False,2
18:25:16 20/12/2020,11,684,7356753,"[21, 24, 12, 20, 13, 25, 2, 8, 1, 16, 9, 18, 6, 17, 11, 15, 14, 4, 3, 19, 10, 7, 5, 22, 23, 0]",False,3
18:25:16 20/12/2020,12,752,7356753,"[21, 24, 12, 20, 13, 25, 2, 8, 1, 16, 9, 18, 6, 17, 11, 15, 14, 4, 3, 19, 10, 7, 5, 22, 23, 0]",False,4
18:25:16 20/12/2020,13,809,7349620,"[21, 24, 12, 20, 19, 25, 2, 8, 1, 16, 9, 18, 6, 17, 11, 15, 0, 4, 3, 13, 10, 7, 5, 22, 23, 14]",False,0
18:25:17 20/12/2020,14,870,7346817,"[21, 12, 17, 24, 25, 3, 2, 15, 1, 8, 13, 14, 7, 18, 20, 16, 0, 4, 19, 6, 5, 11, 10, 22, 23, 9]",False,0
18:25:17 20/12/2020,15,932,7331673,"[1, 20, 5, 15, 10, 16, 24, 25, 0, 6, 17, 18, 19, 11, 9, 12, 14, 8, 4, 3, 22, 23, 13, 21, 7, 2]",False,0
18:25:17 20/12/2020,16,996,7310872,"[25, 9, 10, 21, 6, 20, 15, 0, 24, 7, 19, 11, 3, 17, 13, 14, 18, 8, 4, 5, 22, 1, 12, 2, 16, 23]",False,0
18:25:17 20/12/2020,17,1059,7221792,"[1, 2, 16, 23, 19, 5, 20, 18, 25, 14, 7, 3, 17, 10, 15, 9, 4, 8, 13, 6, 21, 22, 11, 12, 24, 0]",True,0
18:25:17 20/12/2020,18,1123,7221792,"[1, 2, 16, 23, 19, 5, 20, 18, 25, 14, 7, 3, 17, 10, 15, 9, 4, 8, 13, 6, 21, 22, 11, 12, 24, 0]",False,1
18:25:17 20/12/2020,19,1187,7192551,"[2, 1, 25, 22, 11, 23, 16, 24, 8, 7, 3, 6, 17, 10, 15, 14, 0, 4, 5, 9, 21, 13, 19, 12, 18, 20]",True,0
18:25:17 20/12/2020,20,1253,7192551,"[2, 1, 25, 22, 11, 23, 16, 24, 8, 7, 3, 6, 17, 10, 15, 14, 0, 4, 5, 9, 21, 13, 19, 12, 18, 20]",False,1
18:25:17 20/12/2020,21,1320,7192551,"[2, 1, 25, 22, 11, 23, 16, 24, 8, 7, 3, 6, 17, 10, 15, 14, 0, 4, 5, 9, 21, 13, 19, 12, 18, 20]",True,2
18:25:18 20/12/2020,22,1381,7192551,"[2, 1, 25, 22, 11, 23, 16, 24, 8, 7, 3, 6, 17, 10, 15, 14, 0, 4, 5, 9, 21, 13, 19, 12, 18, 20]",False,3
18:25:18 20/12/2020,23,1444,7192551,"[2, 1, 25, 22, 11, 23, 16, 24, 8, 7, 3, 6, 17, 10, 15, 14, 0, 4, 5, 9, 21, 13, 19, 12, 18, 20]",False,4
18:25:18 20/12/2020,24,1508,7192551,"[2, 1, 25, 22, 11, 23, 16, 24, 8, 7, 3, 6, 17, 10, 15, 14, 0, 4, 5, 9, 21, 13, 19, 12, 18, 20]",True,5
18:25:18 20/12/2020,25,1570,7192551,"[2, 1, 25, 22, 11, 23, 16, 24, 8, 7, 3, 6, 17, 10, 15, 14, 0, 4, 5, 9, 21, 13, 19, 12, 18, 20]",False,6
18:25:18 20/12/2020,26,1631,7192551,"[2, 1, 25, 22, 11, 23, 16, 24, 8, 7, 3, 6, 17, 10, 15, 14, 0, 4, 5, 9, 21, 13, 19, 12, 18, 20]",False,7
18:25:18 20/12/2020,27,1696,7192551,"[2, 1, 25, 22, 11, 23, 16, 24, 8, 7, 3, 6, 17, 10, 15, 14, 0, 4, 5, 9, 21, 13, 19, 12, 18, 20]",False,8
18:25:18 20/12/2020,28,1758,7192551,"[2, 1, 25, 22, 11, 23, 16, 24, 8, 7, 3, 6, 17, 10, 15, 14, 0, 4, 5, 9, 21, 13, 19, 12, 18, 20]",False,9
18:25:18 20/12/2020,29,1819,7192551,"[2, 1, 25, 22, 11, 23, 16, 24, 8, 7, 3, 6, 17, 10, 15, 14, 0, 4, 5, 9, 21, 13, 19, 12, 18, 20]",True,10
18:25:18 20/12/2020,30,1884,7192551,"[2, 1, 25, 22, 11, 23, 16, 24, 8, 7, 3, 6, 17, 10, 15, 14, 0, 4, 5, 9, 21, 13, 19, 12, 18, 20]",False,11
18:25:18 20/12/2020,31,1948,7192551,"[2, 1, 25, 22, 11, 23, 16, 24, 8, 7, 3, 6, 17, 10, 15, 14, 0, 4, 5, 9, 21, 13, 19, 12, 18, 20]",False,12
18:25:19 20/12/2020,32,2009,7192551,"[2, 1, 25, 22, 11, 23, 16, 24, 8, 7, 3, 6, 17, 10, 15, 14, 0, 4, 5, 9, 21, 13, 19, 12, 18, 20]",False,13
18:25:19 20/12/2020,33,2071,7192551,"[2, 1, 25, 22, 11, 23, 16, 24, 8, 7, 3, 6, 17, 10, 15, 14, 0, 4, 5, 9, 21, 13, 19, 12, 18, 20]",False,14
18:25:19 20/12/2020,34,2132,7192551,"[2, 1, 25, 22, 11, 23, 16, 24, 8, 7, 3, 6, 17, 10, 15, 14, 0, 4, 5, 9, 21, 13, 19, 12, 18, 20]",False,15
18:25:19 20/12/2020,35,2195,7192551,"[2, 1, 25, 22, 11, 23, 16, 24, 8, 7, 3, 6, 17, 10, 15, 14, 0, 4, 5, 9, 21, 13, 19, 12, 18, 20]",False,16
18:25:19 20/12/2020,36,2257,7192551,"[2, 1, 25, 22, 11, 23, 16, 24, 8, 7, 3, 6, 17, 10, 15, 14, 0, 4, 5, 9, 21, 13, 19, 12, 18, 20]",False,17
18:25:19 20/12/2020,37,2318,7192551,"[2, 1, 25, 22, 11, 23, 16, 24, 8, 7, 3, 6, 17, 10, 15, 14, 0, 4, 5, 9, 21, 13, 19, 12, 18, 20]",True,18
18:25:19 20/12/2020,38,2383,7192550,"[19, 1, 25, 22, 2, 23, 16, 24, 8, 7, 3, 6, 17, 10, 15, 14, 0, 4, 5, 9, 21, 13, 11, 12, 18, 20]",False,0
18:25:19 20/12/2020,39,2448,7192550,"[19, 1, 25, 22, 2, 23, 16, 24, 8, 7, 3, 6, 17, 10, 15, 14, 0, 4, 5, 9, 21, 13, 11, 12, 18, 20]",False,1
18:25:19 20/12/2020,40,2511,7159540,"[25, 9, 10, 21, 6, 20, 15, 0, 24, 7, 19, 11, 3, 17, 13, 14, 18, 8, 4, 5, 22, 1, 12, 2, 16, 23]",True,0
18:25:20 20/12/2020,41,2572,7159540,"[25, 9, 10, 21, 6, 20, 15, 0, 24, 7, 19, 11, 3, 17, 13, 14, 18, 8, 4, 5, 22, 1, 12, 2, 16, 23]",False,1
18:25:20 20/12/2020,42,2634,7159540,"[25, 9, 10, 21, 6, 20, 15, 0, 24, 7, 19, 11, 3, 17, 13, 14, 18, 8, 4, 5, 22, 1, 12, 2, 16, 23]",False,2
18:25:20 20/12/2020,43,2694,7159540,"[25, 9, 10, 21, 6, 20, 15, 0, 24, 7, 19, 11, 3, 17, 13, 14, 18, 8, 4, 5, 22, 1, 12, 2, 16, 23]",False,3
18:25:20 20/12/2020,44,2755,7159540,"[25, 9, 10, 21, 6, 20, 15, 0, 24, 7, 19, 11, 3, 17, 13, 14, 18, 8, 4, 5, 22, 1, 12, 2, 16, 23]",False,4
18:25:20 20/12/2020,45,2819,7159540,"[25, 9, 10, 21, 6, 20, 15, 0, 24, 7, 19, 11, 3, 17, 13, 14, 18, 8, 4, 5, 22, 1, 12, 2, 16, 23]",False,5
18:25:20 20/12/2020,46,2879,7159540,"[25, 9, 10, 21, 6, 20, 15, 0, 24, 7, 19, 11, 3, 17, 13, 14, 18, 8, 4, 5, 22, 1, 12, 2, 16, 23]",False,6
18:25:20 20/12/2020,47,2942,7159540,"[25, 9, 10, 21, 6, 20, 15, 0, 24, 7, 19, 11, 3, 17, 13, 14, 18, 8, 4, 5, 22, 1, 12, 2, 16, 23]",True,7
18:25:20 20/12/2020,48,3010,7159540,"[25, 9, 10, 21, 6, 20, 15, 0, 24, 7, 19, 11, 3, 17, 13, 14, 18, 8, 4, 5, 22, 1, 12, 2, 16, 23]",True,8
18:25:20 20/12/2020,49,3074,7159540,"[25, 9, 10, 21, 6, 20, 15, 0, 24, 7, 19, 11, 3, 17, 13, 14, 18, 8, 4, 5, 22, 1, 12, 2, 16, 23]",False,9
18:25:20 20/12/2020,50,3135,7159540,"[25, 9, 10, 21, 6, 20, 15, 0, 24, 7, 19, 11, 3, 17, 13, 14, 18, 8, 4, 5, 22, 1, 12, 2, 16, 23]",False,10
18:25:21 20/12/2020,51,3200,7159540,"[25, 9, 10, 21, 6, 20, 15, 0, 24, 7, 19, 11, 3, 17, 13, 14, 18, 8, 4, 5, 22, 1, 12, 2, 16, 23]",False,11
18:25:21 20/12/2020,52,3267,7159540,"[25, 9, 10, 21, 6, 20, 15, 0, 24, 7, 19, 11, 3, 17, 13, 14, 18, 8, 4, 5, 22, 1, 12, 2, 16, 23]",True,12
18:25:21 20/12/2020,53,3330,7146070,"[10, 2, 12, 6, 11, 20, 25, 5, 0, 14, 7, 3, 17, 19, 1, 9, 18, 8, 4, 15, 21, 13, 22, 16, 24, 23]",True,0
18:25:21 20/12/2020,54,3393,7146070,"[10, 2, 12, 6, 11, 20, 25, 5, 0, 14, 7, 3, 17, 19, 1, 9, 18, 8, 4, 15, 21, 13, 22, 16, 24, 23]",True,1
18:25:21 20/12/2020,55,3458,7146070,"[10, 2, 12, 6, 11, 20, 25, 5, 0, 14, 7, 3, 17, 19, 1, 9, 18, 8, 4, 15, 21, 13, 22, 16, 24, 23]",False,2
18:25:21 20/12/2020,56,3524,7146070,"[10, 2, 12, 6, 11, 20, 25, 5, 0, 14, 7, 3, 17, 19, 1, 9, 18, 8, 4, 15, 21, 13, 22, 16, 24, 23]",False,3
18:25:21 20/12/2020,57,3592,7146070,"[10, 2, 12, 6, 11, 20, 25, 5, 0, 14, 7, 3, 17, 19, 1, 9, 18, 8, 4, 15, 21, 13, 22, 16, 24, 23]",False,4
18:25:21 20/12/2020,58,3662,7146070,"[10, 2, 12, 6, 11, 20, 25, 5, 0, 14, 7, 3, 17, 19, 1, 9, 18, 8, 4, 15, 21, 13, 22, 16, 24, 23]",False,5
18:25:21 20/12/2020,59,3726,7146070,"[10, 2, 12, 6, 11, 20, 25, 5, 0, 14, 7, 3, 17, 19, 1, 9, 18, 8, 4, 15, 21, 13, 22, 16, 24, 23]",False,6
18:25:22 20/12/2020,60,3792,7146070,"[10, 2, 12, 6, 11, 20, 25, 5, 0, 14, 7, 3, 17, 19, 1, 9, 18, 8, 4, 15, 21, 13, 22, 16, 24, 23]",False,7
18:25:22 20/12/2020,61,3853,7145953,"[2, 9, 25, 22, 10, 23, 8, 24, 16, 7, 3, 6, 17, 19, 15, 14, 0, 4, 18, 1, 21, 13, 11, 12, 5, 20]",False,0
18:25:22 20/12/2020,62,3908,7145953,"[2, 9, 25, 22, 10, 23, 8, 24, 16, 7, 3, 6, 17, 19, 15, 14, 0, 4, 18, 1, 21, 13, 11, 12, 5, 20]",True,1
18:25:22 20/12/2020,63,3968,7145953,"[2, 9, 25, 22, 10, 23, 8, 24, 16, 7, 3, 6, 17, 19, 15, 14, 0, 4, 18, 1, 21, 13, 11, 12, 5, 20]",False,2
18:25:22 20/12/2020,64,4030,7141273,"[22, 1, 11, 2, 15, 23, 16, 24, 5, 7, 3, 6, 17, 19, 9, 14, 0, 4, 18, 25, 12, 13, 10, 21, 8, 20]",False,0
18:25:22 20/12/2020,65,4094,7141273,"[22, 1, 11, 2, 15, 23, 16, 24, 5, 7, 3, 6, 17, 19, 9, 14, 0, 4, 18, 25, 12, 13, 10, 21, 8, 20]",False,1
18:25:22 20/12/2020,66,4156,7141273,"[22, 1, 11, 2, 15, 23, 16, 24, 5, 7, 3, 6, 17, 19, 9, 14, 0, 4, 18, 25, 12, 13, 10, 21, 8, 20]",False,2
18:25:22 20/12/2020,67,4220,7141273,"[22, 1, 11, 2, 15, 23, 16, 24, 5, 7, 3, 6, 17, 19, 9, 14, 0, 4, 18, 25, 12, 13, 10, 21, 8, 20]",False,3
18:25:22 20/12/2020,68,4285,7141273,"[22, 1, 11, 2, 15, 23, 16, 24, 5, 7, 3, 6, 17, 19, 9, 14, 0, 4, 18, 25, 12, 13, 10, 21, 8, 20]",False,4
18:25:22 20/12/2020,69,4350,7136856,"[2, 25, 9, 22, 12, 16, 0, 24, 7, 5, 3, 6, 17, 19, 15, 8, 14, 4, 18, 1, 10, 13, 21, 11, 23, 20]",True,0
18:25:23 20/12/2020,70,4416,7136856,"[2, 25, 9, 22, 12, 16, 0, 24, 7, 5, 3, 6, 17, 19, 15, 8, 14, 4, 18, 1, 10, 13, 21, 11, 23, 20]",False,1
18:25:23 20/12/2020,71,4477,7130803,"[2, 9, 25, 22, 10, 23, 0, 24, 7, 5, 3, 6, 17, 19, 15, 14, 8, 4, 18, 1, 21, 13, 11, 12, 16, 20]",False,0
18:25:23 20/12/2020,72,4539,7127355,"[2, 25, 11, 22, 12, 16, 0, 24, 7, 5, 3, 6, 17, 19, 9, 14, 8, 4, 18, 1, 10, 13, 21, 15, 23, 20]",False,0
18:25:23 20/12/2020,73,4603,7127355,"[2, 25, 11, 22, 12, 16, 0, 24, 7, 5, 3, 6, 17, 19, 9, 14, 8, 4, 18, 1, 10, 13, 21, 15, 23, 20]",False,1
18:25:23 20/12/2020,74,4664,7127355,"[2, 25, 11, 22, 12, 16, 0, 24, 7, 5, 3, 6, 17, 19, 9, 14, 8, 4, 18, 1, 10, 13, 21, 15, 23, 20]",False,2
18:25:23 20/12/2020,75,4724,7127355,"[2, 25, 11, 22, 12, 16, 0, 24, 7, 5, 3, 6, 17, 19, 9, 14, 8, 4, 18, 1, 10, 13, 21, 15, 23, 20]",False,3
18:25:23 20/12/2020,76,4785,7127355,"[2, 25, 11, 22, 12, 16, 0, 24, 7, 5, 3, 6, 17, 19, 9, 14, 8, 4, 18, 1, 10, 13, 21, 15, 23, 20]",False,4
18:25:23 20/12/2020,77,4840,7127355,"[2, 25, 11, 22, 12, 16, 0, 24, 7, 5, 3, 6, 17, 19, 9, 14, 8, 4, 18, 1, 10, 13, 21, 15, 23, 20]",False,5
18:25:23 20/12/2020,78,4901,7127355,"[2, 25, 11, 22, 12, 16, 0, 24, 7, 5, 3, 6, 17, 19, 9, 14, 8, 4, 18, 1, 10, 13, 21, 15, 23, 20]",False,6
18:25:23 20/12/2020,79,4963,7127355,"[2, 25, 11, 22, 12, 16, 0, 24, 7, 5, 3, 6, 17, 19, 9, 14, 8, 4, 18, 1, 10, 13, 21, 15, 23, 20]",True,7
18:25:23 20/12/2020,80,5028,7127355,"[2, 25, 11, 22, 12, 16, 0, 24, 7, 5, 3, 6, 17, 19, 9, 14, 8, 4, 18, 1, 10, 13, 21, 15, 23, 20]",False,8
18:25:23 20/12/2020,81,5093,7127355,"[2, 25, 11, 22, 12, 16, 0, 24, 7, 5, 3, 6, 17, 19, 9, 14, 8, 4, 18, 1, 10, 13, 21, 15, 23, 20]",False,9
18:25:24 20/12/2020,82,5159,7114140,"[2, 25, 11, 22, 12, 16, 0, 20, 7, 5, 3, 6, 17, 19, 9, 14, 8, 4, 18, 1, 10, 13, 21, 15, 23, 24]",False,0
18:25:24 20/12/2020,83,5226,7114140,"[2, 25, 11, 22, 12, 16, 0, 20, 7, 5, 3, 6, 17, 19, 9, 14, 8, 4, 18, 1, 10, 13, 21, 15, 23, 24]",True,1
18:25:24 20/12/2020,84,5292,7114140,"[2, 25, 11, 22, 12, 16, 0, 20, 7, 5, 3, 6, 17, 19, 9, 14, 8, 4, 18, 1, 10, 13, 21, 15, 23, 24]",False,2
18:25:24 20/12/2020,85,5353,7114140,"[2, 25, 11, 22, 12, 16, 0, 20, 7, 5, 3, 6, 17, 19, 9, 14, 8, 4, 18, 1, 10, 13, 21, 15, 23, 24]",False,3
18:25:24 20/12/2020,86,5416,7114140,"[2, 25, 11, 22, 12, 16, 0, 20, 7, 5, 3, 6, 17, 19, 9, 14, 8, 4, 18, 1, 10, 13, 21, 15, 23, 24]",True,4
18:25:24 20/12/2020,87,5476,7114140,"[2, 25, 11, 22, 12, 16, 0, 20, 7, 5, 3, 6, 17, 19, 9, 14, 8, 4, 18, 1, 10, 13, 21, 15, 23, 24]",True,5
18:25:24 20/12/2020,88,5539,7114140,"[2, 25, 11, 22, 12, 16, 0, 20, 7, 5, 3, 6, 17, 19, 9, 14, 8, 4, 18, 1, 10, 13, 21, 15, 23, 24]",False,6
18:25:24 20/12/2020,89,5600,7113956,"[2, 9, 11, 22, 12, 16, 0, 20, 7, 5, 3, 6, 17, 19, 15, 14, 8, 4, 18, 1, 10, 13, 25, 21, 24, 23]",False,0
18:25:25 20/12/2020,90,5666,7113956,"[2, 9, 11, 22, 12, 16, 0, 20, 7, 5, 3, 6, 17, 19, 15, 14, 8, 4, 18, 1, 10, 13, 25, 21, 24, 23]",False,1
18:25:25 20/12/2020,91,5732,7113851,"[2, 9, 11, 22, 12, 23, 0, 20, 7, 5, 3, 6, 17, 19, 15, 14, 8, 4, 18, 1, 10, 13, 25, 21, 24, 16]",False,0
18:25:25 20/12/2020,92,5794,7113851,"[2, 9, 11, 22, 12, 23, 0, 20, 7, 5, 3, 6, 17, 19, 15, 14, 8, 4, 18, 1, 10, 13, 25, 21, 24, 16]",False,1
18:25:25 20/12/2020,93,5855,7113851,"[2, 9, 11, 22, 12, 23, 0, 20, 7, 5, 3, 6, 17, 19, 15, 14, 8, 4, 18, 1, 10, 13, 25, 21, 24, 16]",False,2
18:25:25 20/12/2020,94,5919,7113714,"[2, 15, 11, 22, 12, 16, 0, 20, 7, 5, 3, 6, 17, 19, 9, 14, 8, 4, 18, 1, 10, 13, 25, 21, 24, 23]",False,0
18:25:25 20/12/2020,95,5984,7107551,"[2, 9, 11, 22, 12, 23, 0, 20, 7, 1, 3, 6, 17, 19, 15, 14, 8, 4, 18, 5, 10, 13, 25, 21, 24, 16]",True,0
18:25:25 20/12/2020,96,6046,7107551,"[2, 9, 11, 22, 12, 23, 0, 20, 7, 1, 3, 6, 17, 19, 15, 14, 8, 4, 18, 5, 10, 13, 25, 21, 24, 16]",False,1
18:25:25 20/12/2020,97,6109,7107544,"[2, 9, 11, 25, 12, 16, 0, 20, 7, 1, 3, 6, 17, 19, 15, 14, 8, 4, 18, 5, 10, 13, 22, 21, 24, 23]",False,0
18:25:25 20/12/2020,98,6170,7107544,"[2, 9, 11, 25, 12, 16, 0, 20, 7, 1, 3, 6, 17, 19, 15, 14, 8, 4, 18, 5, 10, 13, 22, 21, 24, 23]",False,1
18:25:25 20/12/2020,99,6231,7107544,"[2, 9, 11, 25, 12, 16, 0, 20, 7, 1, 3, 6, 17, 19, 15, 14, 8, 4, 18, 5, 10, 13, 22, 21, 24, 23]",False,2
18:25:25 20/12/2020,100,6288,7107544,"[2, 9, 11, 25, 12, 16, 0, 20, 7, 1, 3, 6, 17, 19, 15, 14, 8, 4, 18, 5, 10, 13, 22, 21, 24, 23]",False,3
18:25:26 20/12/2020,101,6350,7107502,"[2, 9, 11, 22, 12, 24, 0, 20, 7, 1, 3, 6, 17, 19, 15, 14, 8, 4, 18, 5, 10, 13, 25, 21, 16, 23]",True,0
18:25:26 20/12/2020,102,6415,7107502,"[2, 9, 11, 22, 12, 24, 0, 20, 7, 1, 3, 6, 17, 19, 15, 14, 8, 4, 18, 5, 10, 13, 25, 21, 16, 23]",False,1
18:25:26 20/12/2020,103,6476,7107502,"[2, 9, 11, 22, 12, 24, 0, 20, 7, 1, 3, 6, 17, 19, 15, 14, 8, 4, 18, 5, 10, 13, 25, 21, 16, 23]",False,2
18:25:26 20/12/2020,104,6537,7107502,"[2, 9, 11, 22, 12, 24, 0, 20, 7, 1, 3, 6, 17, 19, 15, 14, 8, 4, 18, 5, 10, 13, 25, 21, 16, 23]",False,3
18:25:26 20/12/2020,105,6600,7107260,"[2, 15, 11, 22, 12, 24, 0, 20, 7, 1, 3, 6, 17, 19, 9, 14, 8, 4, 18, 5, 10, 13, 25, 21, 16, 23]",False,0
18:25:26 20/12/2020,106,6662,7107260,"[2, 15, 11, 22, 12, 24, 0, 20, 7, 1, 3, 6, 17, 19, 9, 14, 8, 4, 18, 5, 10, 13, 25, 21, 16, 23]",True,1
18:25:26 20/12/2020,107,6727,7103047,"[15, 5, 11, 22, 2, 16, 14, 20, 7, 0, 3, 6, 17, 19, 12, 9, 8, 4, 18, 1, 10, 13, 25, 21, 24, 23]",False,0
18:25:26 20/12/2020,108,6787,7103047,"[15, 5, 11, 22, 2, 16, 14, 20, 7, 0, 3, 6, 17, 19, 12, 9, 8, 4, 18, 1, 10, 13, 25, 21, 24, 23]",False,1
18:25:26 20/12/2020,109,6853,7103047,"[15, 5, 11, 22, 2, 16, 14, 20, 7, 0, 3, 6, 17, 19, 12, 9, 8, 4, 18, 1, 10, 13, 25, 21, 24, 23]",False,2
18:25:26 20/12/2020,110,6916,7103047,"[15, 5, 11, 22, 2, 16, 14, 20, 7, 0, 3, 6, 17, 19, 12, 9, 8, 4, 18, 1, 10, 13, 25, 21, 24, 23]",False,3
18:25:27 20/12/2020,111,6978,7103047,"[15, 5, 11, 22, 2, 16, 14, 20, 7, 0, 3, 6, 17, 19, 12, 9, 8, 4, 18, 1, 10, 13, 25, 21, 24, 23]",True,4
18:25:27 20/12/2020,112,7037,7103047,"[15, 5, 11, 22, 2, 16, 14, 20, 7, 0, 3, 6, 17, 19, 12, 9, 8, 4, 18, 1, 10, 13, 25, 21, 24, 23]",False,5
18:25:27 20/12/2020,113,7097,7102793,"[15, 25, 11, 22, 2, 16, 14, 20, 7, 0, 3, 6, 17, 19, 21, 9, 8, 4, 18, 5, 10, 13, 1, 12, 24, 23]",True,0
18:25:27 20/12/2020,114,7162,7102793,"[15, 25, 11, 22, 2, 16, 14, 20, 7, 0, 3, 6, 17, 19, 21, 9, 8, 4, 18, 5, 10, 13, 1, 12, 24, 23]",True,1
18:25:27 20/12/2020,115,7222,7102793,"[15, 25, 11, 22, 2, 16, 14, 20, 7, 0, 3, 6, 17, 19, 21, 9, 8, 4, 18, 5, 10, 13, 1, 12, 24, 23]",False,2
18:25:27 20/12/2020,116,7280,7100224,"[11, 22, 25, 1, 15, 24, 9, 7, 0, 20, 17, 19, 3, 6, 12, 14, 8, 18, 4, 13, 21, 10, 5, 2, 16, 23]",True,0
18:25:28 20/12/2020,117,7342,7100224,"[11, 22, 25, 1, 15, 24, 9, 7, 0, 20, 17, 19, 3, 6, 12, 14, 8, 18, 4, 13, 21, 10, 5, 2, 16, 23]",True,1
18:25:28 20/12/2020,118,7408,7100224,"[11, 22, 25, 1, 15, 24, 9, 7, 0, 20, 17, 19, 3, 6, 12, 14, 8, 18, 4, 13, 21, 10, 5, 2, 16, 23]",False,2
18:25:28 20/12/2020,119,7471,7100224,"[11, 22, 25, 1, 15, 24, 9, 7, 0, 20, 17, 19, 3, 6, 12, 14, 8, 18, 4, 13, 21, 10, 5, 2, 16, 23]",False,3
18:25:28 20/12/2020,120,7531,7100224,"[11, 22, 25, 1, 15, 24, 9, 7, 0, 20, 17, 19, 3, 6, 12, 14, 8, 18, 4, 13, 21, 10, 5, 2, 16, 23]",False,4
18:25:28 20/12/2020,121,7593,7100224,"[11, 22, 25, 1, 15, 24, 9, 7, 0, 20, 17, 19, 3, 6, 12, 14, 8, 18, 4, 13, 21, 10, 5, 2, 16, 23]",False,5
18:25:28 20/12/2020,122,7657,7100224,"[11, 22, 25, 1, 15, 24, 9, 7, 0, 20, 17, 19, 3, 6, 12, 14, 8, 18, 4, 13, 21, 10, 5, 2, 16, 23]",False,6
18:25:28 20/12/2020,123,7718,7100224,"[11, 22, 25, 1, 15, 24, 9, 7, 0, 20, 17, 19, 3, 6, 12, 14, 8, 18, 4, 13, 21, 10, 5, 2, 16, 23]",False,7
18:25:28 20/12/2020,124,7784,7100224,"[11, 22, 25, 1, 15, 24, 9, 7, 0, 20, 17, 19, 3, 6, 12, 14, 8, 18, 4, 13, 21, 10, 5, 2, 16, 23]",False,8
18:25:28 20/12/2020,125,7850,7100224,"[11, 22, 25, 1, 15, 24, 9, 7, 0, 20, 17, 19, 3, 6, 12, 14, 8, 18, 4, 13, 21, 10, 5, 2, 16, 23]",False,9
18:25:28 20/12/2020,126,7908,7100224,"[11, 22, 25, 1, 15, 24, 9, 7, 0, 20, 17, 19, 3, 6, 12, 14, 8, 18, 4, 13, 21, 10, 5, 2, 16, 23]",False,10
18:25:28 20/12/2020,127,7970,7100224,"[11, 22, 25, 1, 15, 24, 9, 7, 0, 20, 17, 19, 3, 6, 12, 14, 8, 18, 4, 13, 21, 10, 5, 2, 16, 23]",False,11
18:25:29 20/12/2020,128,8033,7100224,"[11, 22, 25, 1, 15, 24, 9, 7, 0, 20, 17, 19, 3, 6, 12, 14, 8, 18, 4, 13, 21, 10, 5, 2, 16, 23]",False,12
18:25:29 20/12/2020,129,8101,7100224,"[11, 22, 25, 1, 15, 24, 9, 7, 0, 20, 17, 19, 3, 6, 12, 14, 8, 18, 4, 13, 21, 10, 5, 2, 16, 23]",False,13
18:25:29 20/12/2020,130,8162,7100224,"[11, 22, 25, 1, 15, 24, 9, 7, 0, 20, 17, 19, 3, 6, 12, 14, 8, 18, 4, 13, 21, 10, 5, 2, 16, 23]",False,14
18:25:29 20/12/2020,131,8218,7100224,"[11, 22, 25, 1, 15, 24, 9, 7, 0, 20, 17, 19, 3, 6, 12, 14, 8, 18, 4, 13, 21, 10, 5, 2, 16, 23]",False,15
